acpid/stable,now 1:2.0.31-1 amd64 [installed]
adduser/stable,now 3.118 all [installed]
apt-listchanges/stable,now 3.19 all [installed]
apt-utils/stable,now 1.8.2 amd64 [installed]
apt/stable,now 1.8.2 amd64 [installed]
audacity/stable,now 2.2.2-1+b1 amd64 [installed]
base-files/stable,now 10.3+deb10u3 amd64 [installed]
base-passwd/stable,now 3.5.46 amd64 [installed]
bash-completion/stable,now 1:2.8-6 all [installed]
bash/stable,now 5.0-4 amd64 [installed]
bind9-host/stable,now 1:9.11.5.P4+dfsg-5.1 amd64 [installed]
blueman/stable,now 2.0.8-1 amd64 [installed]
bluetooth/stable,now 5.50-1 all [installed,upgradable to: 5.50-1.2~deb10u1]
bsdmainutils/stable,now 11.1.2+b1 amd64 [installed]
bsdutils/stable,now 1:2.33.1-0.1 amd64 [installed]
bzip2/stable,now 1.0.6-9.2~deb10u1 amd64 [installed]
console-setup/stable,now 1.193~deb10u1 all [installed]
coreutils/stable,now 8.30-3 amd64 [installed]
cpio/stable,now 2.12+dfsg-9 amd64 [installed]
cron/stable,now 3.0pl1-134+deb10u1 amd64 [installed]
dash/stable,now 0.5.10.2-5 amd64 [installed]
dbus/stable,now 1.12.16-1 amd64 [installed]
debconf-i18n/stable,now 1.5.71 all [installed]
debconf/stable,now 1.5.71 all [installed]
debian-archive-keyring/stable,now 2019.1 all [installed]
debian-faq/stable,now 9.0 all [installed]
debianutils/stable,now 4.8.6.1 amd64 [installed]
diffutils/stable,now 1:3.7-3 amd64 [installed]
dmidecode/stable,now 3.2-1 amd64 [installed]
dmsetup/stable,now 2:1.02.155-3 amd64 [installed]
doc-debian/stable,now 6.4 all [installed]
dpkg/stable,now 1.19.7 amd64 [installed]
e2fsprogs/stable,now 1.44.5-1+deb10u3 amd64 [installed]
eject/stable,now 2.1.5+deb1+cvs20081104-13.2 amd64 [installed]
fdisk/stable,now 2.33.1-0.1 amd64 [installed]
feh/stable,now 3.1.3-1 amd64 [installed]
file/stable,stable,now 1:5.35-4+deb10u1 amd64 [installed]
findutils/stable,now 4.6.0+git+20190209-2 amd64 [installed]
gcc-8-base/stable,now 8.3.0-6 amd64 [installed]
gdbm-l10n/stable,now 1.18.1-4 all [installed]
gettext-base/stable,now 0.19.8.1-9 amd64 [installed]
git/stable,now 1:2.20.1-2+deb10u3 amd64 [installed]
gpgv/stable,now 2.2.12-1+deb10u1 amd64 [installed]
grep/stable,now 3.3-1 amd64 [installed]
groff-base/stable,now 1.22.4-3 amd64 [installed]
grub-common/stable,now 2.02+dfsg1-20 amd64 [installed]
grub-pc/stable,now 2.02+dfsg1-20 amd64 [installed]
gzip/stable,now 1.9-3 amd64 [installed]
hdparm/stable,now 9.58+ds-1 amd64 [installed]
hostname/stable,now 3.21 amd64 [installed]
htop/stable,now 2.2.0-1+b1 amd64 [installed]
i3/stable,now 4.16.1-1 amd64 [installed]
ifupdown/stable,now 0.8.35 amd64 [installed]
imagemagick/stable,now 8:6.9.10.23+dfsg-2.1 amd64 [installed]
init-system-helpers/stable,now 1.56+nmu1 all [installed]
init/stable,now 1.56+nmu1 amd64 [installed]
initramfs-tools-core/stable,now 0.133+deb10u1 all [installed]
initramfs-tools/stable,now 0.133+deb10u1 all [installed]
iproute2/stable,now 4.20.0-2 amd64 [installed]
iptables/stable,now 1.8.2-4 amd64 [installed]
iputils-ping/stable,now 3:20180629-2 amd64 [installed]
isc-dhcp-client/stable,now 4.4.1-2 amd64 [installed]
isc-dhcp-common/stable,now 4.4.1-2 amd64 [installed]
keyboard-configuration/stable,now 1.193~deb10u1 all [installed]
klibc-utils/stable,now 2.0.6-1 amd64 [installed]
kmod/stable,now 26-1 amd64 [installed]
krb5-locales/stable,now 1.17-3 all [installed]
less/stable,now 487-0.1+b1 amd64 [installed]
libacl1/stable,now 2.2.53-4 amd64 [installed]
libapparmor1/stable,now 2.13.2-10 amd64 [installed]
libapt-inst2.0/stable,now 1.8.2 amd64 [installed]
libapt-pkg5.0/stable,now 1.8.2 amd64 [installed]
libargon2-1/stable,now 0~20171227-0.2 amd64 [installed]
libattr1/stable,now 1:2.4.48-4 amd64 [installed]
libaudit-common/stable,now 1:2.8.4-3 all [installed]
libaudit1/stable,now 1:2.8.4-3 amd64 [installed]
libblkid1/stable,now 2.33.1-0.1 amd64 [installed]
libbsd0/stable,now 0.9.1-2 amd64 [installed]
libbz2-1.0/stable,now 1.0.6-9.2~deb10u1 amd64 [installed]
libc-bin/stable,now 2.28-10 amd64 [installed]
libc-l10n/stable,now 2.28-10 all [installed]
libc6/stable,now 2.28-10 amd64 [installed]
libcap-ng0/stable,now 0.7.9-2 amd64 [installed]
libcap2-bin/stable,now 1:2.25-2 amd64 [installed]
libcap2/stable,now 1:2.25-2 amd64 [installed]
libcom-err2/stable,now 1.44.5-1+deb10u3 amd64 [installed]
libcryptsetup12/stable,now 2:2.1.0-5+deb10u2 amd64 [installed]
